horizon,policy,granularity,period,n_train,n_test,mae,rmse,r2
1,monthly_expanding,month,2024-06,3409,30,0.820251711157056,1.0138647892656,0.401787512482252
1,monthly_expanding,month,2024-07,3439,31,0.6659647746971802,0.7713288180673171,0.43318611291418607
1,monthly_expanding,month,2024-08,3470,31,0.6738277089449433,0.8110020173366596,0.49920529773932365
1,monthly_expanding,month,2024-09,3501,30,0.7165823287882839,0.8669513301010958,0.4757222316098917
1,monthly_expanding,month,2024-10,3531,31,0.7464823420396948,0.9730621040982036,0.006634591754176911
1,monthly_expanding,month,2024-11,3562,30,0.5089519327040696,0.6408053194242879,0.36466449197645245
1,monthly_expanding,month,2024-12,3592,31,0.7249672992832754,0.9089529717493717,0.08051664138646697
1,monthly_expanding,month,2025-01,3623,31,0.6138759456013559,0.7622164553633349,0.4362722720533043
1,monthly_expanding,month,2025-02,3654,28,0.5409928754322711,0.6552011282419875,0.342793152907646
1,monthly_expanding,month,2025-03,3682,31,0.524770492329707,0.6624248489340823,0.1262055119220612
1,monthly_expanding,month,2025-04,3713,30,0.4704216302266302,0.6105884329229152,-0.01847446039561529
1,monthly_expanding,month,2025-05,3743,31,0.7338284160525391,0.9798178619716712,0.24451247627266115
1,monthly_expanding,month,2025-06,3774,30,0.5983967119134573,0.7538651405898555,0.23527093897358642
1,monthly_expanding,month,2025-07,3804,31,0.7805630303524504,0.915524669191714,0.10876721783298071
1,monthly_expanding,month,2025-08,3835,31,0.6964570845150241,0.9490531930808189,0.5255981788878857
1,monthly_expanding,month,2025-09,3866,30,0.6999679438640307,0.897470510304915,0.05885440228984706
1,monthly_expanding,month,2025-10,3896,31,0.5394775096963641,0.67180372098102,0.3295428193190437
1,monthly_expanding,month,2025-11,3927,15,0.6787680163690891,0.791341729038579,-0.2216047314591445
1,monthly_rolling_12m,month,2016-01,335,31,0.4589862436732727,0.6568456788776964,0.0993182381028146
1,monthly_rolling_12m,month,2016-02,365,29,0.4852702516082429,0.7773101549077013,0.4922545257779577
1,monthly_rolling_12m,month,2016-03,366,31,0.3191493619069215,0.4208532618693707,0.28663081821847614
1,monthly_rolling_12m,month,2016-04,366,30,0.8947478891557153,1.0357206018626766,-0.4361618597680983
1,monthly_rolling_12m,month,2016-05,366,31,0.9586831827367348,1.104481206914095,0.5097139069258885
1,monthly_rolling_12m,month,2016-06,366,30,0.7692986130451179,0.9456526845461675,0.5018394910835934
1,monthly_rolling_12m,month,2016-07,366,31,0.5363039086282996,0.6558199189349644,0.18195409255618689
1,monthly_rolling_12m,month,2016-08,366,31,0.5073215931552933,0.5829707251139551,0.2670544736251461
1,monthly_rolling_12m,month,2016-09,366,30,0.6196292877496109,0.7764449914086947,0.30842747244916546
1,monthly_rolling_12m,month,2016-10,366,31,0.6890307159092987,0.8668592310077694,-0.38659480463600127
1,monthly_rolling_12m,month,2016-11,366,30,0.6682255364771963,0.8488381377134754,0.49304733916539534
